alinea,alinea1,alinea2,article,auteur,auteurType,book,chapter,code-part,etat,groupePolitique,law,lawType,paragraph,section,section1,sentence,sort,text,texteLegislatifUid,title,uid,year
V order: 5,,,,Maillard Sylvain,Député,,,,,LaREM,,,,,,,Retiré,au V,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000001,2019
,,,575,Maillard Sylvain,Député,,,,,LaREM,code général des impôts,code,,,,,Retiré,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000001,2019
,,,575 A,Maillard Sylvain,Député,,,,,LaREM,code général des impôts,code,,,,,Retiré,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000001,2019
,,,575,Maillard Sylvain,Député,,,,,LaREM,code général des impôts,code,,,,,Retiré,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000001,2019
,,,575 A,Maillard Sylvain,Député,,,,,LaREM,code général des impôts,code,,,,,Retiré,aux articles 575 et 575 A du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000001,2019
1,,,,Lurton Gilles,Député,,,,,,,,,,,1,Rejeté,la première phrase du premier alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000002,2019
,,,,Lurton Gilles,Député,,,,,,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000002,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000005,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code de l’action sociale et des familles,code,,,,,Non soutenu,du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000005,2019
2° order: 2,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,du 2°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000005,2019
I order: 1,,,indirect: (relative: 0),Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,du I du présent article,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000005,2019
3° order: 3,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,au 3°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000005,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code du travail,code,,,,,Non soutenu,du code du travail,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000005,2019
3° order: 3,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,Le 3°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000008,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code de l’action sociale et des familles,code,,,,,Non soutenu,du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000008,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code de l’action sociale et des familles,code,,,,,Non soutenu,le code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000008,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,indirect: (relative: 0),code,,,,,Non soutenu,du même code,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000008,2019
1,,,,Lurton Gilles,Député,,,,,,,,,,,,Rejeté,Le premier alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000010,2019
,,,,Lurton Gilles,Député,,,,,,code de la sécurité sociale,code,,,,,Rejeté,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000010,2019
,,,,Lurton Gilles,Député,,,,,,indirect: (relative: 0),loi,,,,,Rejeté,la présente loi,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000011,2019
,,,indirect: (relative: 0),Lurton Gilles,Député,,,,,,,,,,,,Rejeté,aux mêmes articles,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000018,2019
,,,,Brenier Marine,Député,,,,,LR,,,,,,1,Non soutenu,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000027,2019
,,,,Christophe Paul,Député,I,,,,Agir ens,code de la sécurité sociale,code,,,,,Rejeté,Le titre VI du livre I du code de la sécurité sociale,PRJLANR5L15B2296,VI,AMANR5L15PO420120B2296P0D1N000032,2019
2,,,,Christophe Paul,Député,,,,,Agir ens,,,,,,,Rejeté,Le deuxième alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000032,2019
,,,,Christophe Paul,Député,,,,,Agir ens,,,,,,1,Rejeté,la première phrase,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000032,2019
,,,,Brenier Marine,Député,,,,,LR,code de la sécurité sociale,code,,,,,Retiré,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000033,2019
I order: 1,,,,Brenier Marine,Député,,,,,LR,,,,,,,Retiré,Le I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000033,2019
II order: 2,,,,Brenier Marine,Député,,,,,LR,,,,,,2,Retiré,La seconde phrase du II,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000033,2019
I order: 1,,,,Brenier Marine,Député,,,,,LR,,,,,,,Retiré,du I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000034,2019
,,,,Brenier Marine,Député,,,,,LR,code de la sécurité sociale,code,,,,,Retiré,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000034,2019
,,,575,Brenier Marine,Député,,,,,LR,,,,,,,Rejeté,aux articles 575 et 575,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000037,2019
,,,575,Brenier Marine,Député,,,,,LR,,,,,,,Rejeté,aux articles 575 et 575,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000037,2019
,,,,Brenier Marine,Député,,,,,LR,code général des impôts,code,,,,,Rejeté,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000037,2019
indirect: (relative: 0),,,,Brenier Marine,Député,,,,,LR,,,,,,,Rejeté,le même alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000045,2019
,,,,Brenier Marine,Député,II,III,,,LR,,,,3,,,Non soutenu,La section 3 du chapitre III du titre Ier du livre II,PRJLANR5L15B2296,Ier,AMANR5L15PO420120B2296P0D1N000048,2019
2,,,,Brenier Marine,Député,,,,,LR,,,,,,,Non soutenu,le deuxième alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000048,2019
1,,,,Brenier Marine,Député,,,,,LR,,,,,,,Non soutenu,Le premier alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000048,2019
,,,,Lurton Gilles,Député,,,,,,code général des impôts,code,,,,,Rejeté,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000058,2019
,,,,Lurton Gilles,Député,,,,,,code de l’action sociale et des familles,code,,,,,Rejeté,du code de l’action sociale et des familles,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000058,2019
2° order: 2,,,,Lurton Gilles,Député,,,,,,,,,,,,Rejeté,du 2°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000058,2019
II order: 2,,,indirect: (relative: 0),Lurton Gilles,Député,,,,,,,,,,,,Rejeté,du II du présent article,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000058,2019
3° order: 3,,,,Lurton Gilles,Député,,,,,,,,,,,,Rejeté,au 3°,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000058,2019
,,,,Lurton Gilles,Député,,,,,,code du travail,code,,,,,Rejeté,du code du travail,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000058,2019
,,,575,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,aux articles 575 et 575,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000066,2019
,,,575,Bazin-Malgras Valérie,Député,,,,,LR,,,,,,,Non soutenu,aux articles 575 et 575,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000066,2019
,,,,Bazin-Malgras Valérie,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000066,2019
,,,575,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,aux articles 575 et 575,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000069,2019
,,,575,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,aux articles 575 et 575,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000069,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000069,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code de la sécurité sociale,code,,,,,Non soutenu,du code de la sécurité sociale,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
I order: 1,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,au I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
I order: 1,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,au I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
2,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,le second alinéa,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
I order: 1,,,,Anthoine Emmanuelle,Député,,,,,LR,,,,,,,Non soutenu,du I,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
,,,,Anthoine Emmanuelle,Député,,,,,LR,code général des impôts,code,,,,,Non soutenu,du code général des impôts,PRJLANR5L15B2296,,AMANR5L15PO420120B2296P0D1N000074,2019
