alinea,alinea1,amendements1Signataire,amendementsMoins10Signataires,amendementsPlus10Signataires,article,book,chapter,code-part,law,lawType,paragraph,section,section1,sentence,text,texteLegislatif,texteLegislatifArticle,title,year
,,6,4,22,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 3,,2019
5,,6,4,22,,,,,,,,,,,Au cinquième alinéa,PLFSS pour 2020,ARTICLE 3,,2019
indirect: -1,,6,4,22,,,,,,,,,,,Au dernier alinéa,PLFSS pour 2020,ARTICLE 3,,2019
e order: e,,6,4,22,,,,,,,,,,,Au e,PLFSS pour 2020,ARTICLE 3,,2019
III bis order: 3,,6,4,22,,,,,,,,,,,du III bis,PLFSS pour 2020,ARTICLE 3,,2019
indirect: -1,,6,4,22,,,,,,,,,,,Au dernier alinéa,PLFSS pour 2020,ARTICLE 3,,2019
,,6,4,22,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 3,,2019
1,,6,4,22,,,,,,,,,,,Le premier alinéa,PLFSS pour 2020,ARTICLE 3,,2019
,,6,4,22,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 3,,2019
,,6,4,22,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 3,,2019
,,6,4,22,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 3,,2019
1,,6,4,22,4,,,,2018-359 du 2018-05-16,ordonnance,,,,,au premier alinéa de l’article 4 de l’ordonnance n° 2018-359 du 16 mai 2018,PLFSS pour 2020,ARTICLE 3,,2019
,,6,4,22,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 3,,2019
1,,6,4,22,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 3,,2019
1,,0,0,5,,,,,,,,,,,Au premier alinéa,PLFSS pour 2020,ARTICLE 4,,2019
V order: 5,,6,6,11,,,,,,,,,,,au V,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,order: 3,code du travail,code,,,,,la troisième partie du code du travail,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 7,,2019
V order: 5,,6,6,11,,,,,,,,,,,au V,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 7,,2019
V order: 5,,6,6,11,,,,,,,,,,,au V,PLFSS pour 2020,ARTICLE 7,,2019
I order: 1,,6,6,11,,,,,,,,,,,du I,PLFSS pour 2020,ARTICLE 7,,2019
III order: 3,2,6,6,11,,,,,,,,,,indirect: -1,la dernière phrase du deuxième alinéa du III,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,indirect: 1,code du travail,code,,,,,la première partie du code du travail,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 7,,2019
2,,6,6,11,,,,,,,,,,indirect: -1,la dernière phrase du deuxième alinéa,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 7,,2019
,,6,6,11,,,,,code de la sécurité sociale,code,,,,,au code de la sécurité sociale,PLFSS pour 2020,ARTICLE 7,,2019
,,1,0,7,,,,,code de la sécurité sociale,code,,,,,Le code de la sécurité sociale,PLFSS pour 2020,ARTICLE 8,,2019
5,,1,0,7,,,,,,,,,,,Le cinquième alinéa,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 8,,2019
2,,1,0,7,,,,,,,,,,2,la seconde phrase du deuxième alinéa,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 8,,2019
3,,1,0,7,,,,,,,,,,1,la première phrase du troisième alinéa,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 8,,2019
3,,1,0,7,,,,,,,,,,indirect: -1,la dernière phrase du troisième alinéa,PLFSS pour 2020,ARTICLE 8,,2019
1,,1,0,7,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,,,,,code des transports,code,,,,,du code des transports,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 8,,2019
1,,1,0,7,,,,,,,,,,,le premier alinéa,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,,,,,code des transports,code,,,,,du code des transports,PLFSS pour 2020,ARTICLE 8,,2019
1,,1,0,7,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 8,,2019
2,,1,0,7,,,,,,,,,,,au deuxième alinéa,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,,,,,indirect: (relative: 0),code,,,,,du même code,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,indirect: (relative: 0),,,,,,,,,,Le présent article,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,7,indirect: (relative: 0),,,,,,,,,,Le présent article,PLFSS pour 2020,ARTICLE 8,,2019
3,,1,0,7,,,,,,,,,,,du troisième alinéa,PLFSS pour 2020,ARTICLE 8,,2019
,,1,0,6,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 9,,2019
,,1,0,6,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 9,,2019
,,1,0,6,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 9,,2019
,,1,0,6,indirect: (relative: 0),,,,,,,,,,au même article,PLFSS pour 2020,ARTICLE 9,,2019
,,1,0,6,,,,,code de la sécurité sociale,code,,,,,du code de la sécurité sociale,PLFSS pour 2020,ARTICLE 9,,2019
,,1,0,6,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 9,,2019
,,9,0,4,,,,,code de la sécurité sociale,code,,,,,Le code de la sécurité sociale,PLFSS pour 2020,ARTICLE 10,,2019
2,,9,0,4,,,,,,,,,,,Le second alinéa,PLFSS pour 2020,ARTICLE 10,,2019
I order: 1,,9,0,4,,,,,,,,,,,aux I et II bis,PLFSS pour 2020,ARTICLE 10,,2019
II bis order: 2,,9,0,4,,,,,,,,,,,aux I et II bis,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,L133-5-3 indirect: (relative: 0),,,,,,,,,,le même article L. 133-5-3,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,indirect: (relative: 0),,,,,,,,,,du présent article,PLFSS pour 2020,ARTICLE 10,,2019
2,,9,0,4,,,,,,,,,,,au deuxième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,,Au premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
2,,9,0,4,,,,,,,,,,,au deuxième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
2,,9,0,4,,,,,,,,,,,Au deuxième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code rural et de la pêche maritime,code,,,,,du code rural et de la pêche maritime,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code de l’action sociale et des familles,code,,,,,du code de l’action sociale et des familles,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code général des collectivités territoriales,code,,,,,du code général des collectivités territoriales,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,indirect: (relative: 0),,,,,,,,,,le même article,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code des transports,code,,,,,du code des transports,PLFSS pour 2020,ARTICLE 10,,2019
2,,9,0,4,,,,,,,,,,,au deuxième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 10,,2019
3,,9,0,4,,,,,,,,,,,Le troisième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,L213-1,,,,indirect: (relative: 0),code,,,,,l’article L. 213-1 du présent code,PLFSS pour 2020,ARTICLE 10,,2019
3,,9,0,4,,,,,,,,,,,au troisième alinéa,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code général des impôts,code,,,,,du code général des impôts,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,L213-1,,,,,,,,,,aux articles L. 213-1 et L. 752-4,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,L752-4,,,,,,,,,,aux articles L. 213-1 et L. 752-4,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,indirect: (relative: 0),,,,,,,,,,du même article,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,L921-4,,,,,,,,,,l’article L. 921-4,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,indirect: (relative: 0),,,,,,,,,,du même article,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,indirect: (relative: 0),code,,,,,du présent code,PLFSS pour 2020,ARTICLE 10,,2019
1,,9,0,4,,,,,,,,,,,au premier alinéa,PLFSS pour 2020,ARTICLE 10,,2019
,,9,0,4,,,,,code du travail,code,,,,,du code du travail,PLFSS pour 2020,ARTICLE 10,,2019
